[ 2025-04-24 16:38:31,289 ] 14 root - INFO - Enter the try block
[ 2025-04-24 16:38:38,050 ] 71 root - INFO - Performed train test split on the dataframe
[ 2025-04-24 16:38:38,050 ] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-24 16:38:38,050 ] 81 root - INFO - Exporting train and test file path.
[ 2025-04-24 16:38:38,080 ] 90 root - INFO - Exported train and test file path.
[ 2025-04-24 16:38:38,080 ] 19 root - INFO - Data initiation is completed
[ 2025-04-24 16:38:38,082 ] 23 root - INFO - Initiate Data validation
[ 2025-04-24 16:38:38,096 ] 32 root - INFO - Required number of columns:2
[ 2025-04-24 16:38:38,096 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-24 16:38:38,096 ] 32 root - INFO - Required number of columns:2
[ 2025-04-24 16:38:38,096 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-24 16:38:38,198 ] 25 root - INFO - Data validation complete
[ 2025-04-24 16:38:38,198 ] 28 root - INFO - Initiate Data transformation
[ 2025-04-24 16:38:38,198 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-24 16:38:38,198 ] 65 root - INFO - Starting data transformation
[ 2025-04-24 16:38:38,212 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-24 16:38:38,212 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-24 16:38:38,226 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-24 16:38:38,228 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-24 16:38:38,228 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-24 16:38:38,230 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-24 16:38:38,230 ] 31 root - INFO - Complete Data transformation
[ 2025-04-24 16:38:38,230 ] 33 root - INFO - Model Training started
[ 2025-04-24 16:41:46,067 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-24 16:41:46,067 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-24 16:41:46,067 ] 137 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/04_24_2025_16_38_29/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991277578245254, precision_score=0.9887410440122825, recall_score=0.9938271604938271), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9754601226993865, precision_score=0.9702517162471396, recall_score=0.9807247494217425))
[ 2025-04-24 16:41:46,068 ] 37 root - INFO - Model Training completed
